id,name_ko,name_en,category
eli-lilly,일라이 릴리,Eli Lilly,제약
walmart,월마트,Walmart,대형마트·창고형
toblerone,토블론,Toblerone,과자·제과
harim,하림,Harim,육가공·축산
unilever,유니레버,Unilever,생활위생
lg-gram,LG 그램,LG gram,PC·주변기기
delvaux,델보,Delvaux,가방·잡화
swarovski,스와로브스키,Swarovski,주얼리
hyundai-department-store,현대백화점,Hyundai Department Store,백화점
honda,혼다,Honda Motor,완성차
boehringer-ingelheim,베링거인겔하임,Boehringer Ingelheim,제약
bbq,BBQ,Genesis BBQ,배달·프랜차이즈
charles-schwab,찰스슈왑,Charles Schwab,증권·투자
nintendo,닌텐도,Nintendo,게임사
san-pellegrino,산펠레그리노,S.Pellegrino,음료·탄산
jaguar-land-rover,재규어랜드로버,Jaguar Land Rover,완성차
airasia,에어아시아,AirAsia,항공사
outback,아웃백,Outback Steakhouse,레스토랑체인
mitsubishi-motors,미쓰비시자동차,Mitsubishi Motors,완성차
kadokawa,가도카와,Kadokawa,출판
jellycat,젤리캣,Jellycat,완구·캐릭터
lf,LF,LF Corp.,컨템포러리
wells-fargo,웰스파고,Wells Fargo,은행
stella-artois,스텔라아르투아,Stella Artois,주류
the-sharp,더샵,The Sharp,건설
discord,디스코드,Discord,SNS·메신저
cathay-pacific,캐세이퍼시픽,Cathay Pacific,항공사
coca-cola,코카콜라,Coca-Cola,음료·탄산
helinox,헬리녹스,Helinox,아웃도어
brioni,브리오니,Brioni,럭셔리하우스
american-express,아메리칸익스프레스,American Express,카드·결제
hublot,위블로,Hublot,하이엔드시계
marriott,메리어트,Marriott International,호텔·리조트
mytheresa,마이테레사,Mytheresa,명품·패션플랫폼
sofitel,소피텔,Sofitel,호텔·리조트
medicube,메디큐브,Medicube,스킨케어
kitkat,킷캣,Kit Kat,과자·제과
jeju-air,제주항공,Jeju Air,항공사
dove,도브,Dove,헤어·바디
louis-vuitton,루이비통,Louis Vuitton,럭셔리하우스
korea-investment-securities,한국투자증권,Korea Investment & Securities,증권·투자
yakult,야쿠르트,Yakult,유제품
jw-marriott,JW 메리어트,JW Marriott,호텔·리조트
gap,갭,Gap,SPA·캐주얼
ritz-carlton,리츠칼튼,The Ritz-Carlton,호텔·리조트
herbalife,허벌라이프,Herbalife,건강식품
verizon,버라이즌,Verizon,통신사
lufthansa,루프트한자,Lufthansa,항공사
taobao,타오바오,Taobao,이커머스
modetour,모두투어,Modetour,여행플랫폼
insta360,인스타360,Insta360,음향·카메라
adobe,어도비,Adobe,소프트웨어·클라우드
kb-kookmin-bank,KB국민은행,KB Kookmin Bank,은행
moleskine,몰스킨,Moleskine,문구·필기구
xexymix,젝시믹스,Xexymix,스포츠웨어
celltrion,셀트리온,Celltrion,바이오
otb-group,OTB 그룹,OTB Group,디자이너·스트리트
coupang,쿠팡,Coupang,이커머스
kepco,한국전력,Korea Electric Power Corporation,전력·신재생
volkswagen,폭스바겐,Volkswagen,완성차
smithfield,스미스필드,Smithfield Foods,육가공·축산
centrum,센트룸,Centrum,일반의약품·소비자헬스
acushnet,아쿠쉬네트,Acushnet,골프
electrolux,일렉트로룩스,Electrolux,스마트폰·가전
lotte-wellfood,롯데웰푸드,Lotte Wellfood,과자·제과
acura,어큐라,Acura,완성차
gentle-monster,젠틀몬스터,Gentle Monster,안경·아이웨어
sony-pictures,소니 픽처스,Sony Pictures Entertainment,영화·애니메이션
ipark,아이파크,IPARK,건설
virgin-atlantic,버진애틀랜틱,Virgin Atlantic,항공사
devsisters,데브시스터즈,Devsisters,게임사
danone,다논,Danone,유제품
hershey,허쉬,Hershey's,과자·제과
lotus,로터스,Lotus Cars,럭셔리·슈퍼카
choco-pie,초코파이,Choco Pie,과자·제과
unionpay,유니온페이,UnionPay,카드·결제
terra,테라,Terra,주류
paramount,파라마운트,Paramount Skydance,영화·애니메이션
kakao-games,카카오게임즈,Kakao Games,게임사
bmw,BMW,BMW,완성차
locknlock,락앤락,LocknLock,주방·생활용품
crown,크라운제과,Crown Confectionery,과자·제과
tylenol,타이레놀,Tylenol,일반의약품·소비자헬스
sm-entertainment,SM엔터테인먼트,SM Entertainment,엔터테인먼트·음반
barrel,배럴,Barrel,스포츠웨어
sonos,소노스,Sonos,음향·카메라
dior-beauty,디올 뷰티,Dior Beauty,럭셔리뷰티
swatch,스와치,Swatch,대중시계
mercedes-benz,메르세데스-벤츠,Mercedes-Benz,완성차
rick-owens,릭 오웬스,Rick Owens,디자이너·스트리트
chzzk,치지직,CHZZK,콘텐츠스트리밍
smilegate,스마일게이트,Smilegate,게임사
coach,코치,Coach,가방·잡화
hugo-boss,휴고 보스,Hugo Boss,컨템포러리
dong-a-pharm,동아제약,Dong-A Pharmaceutical,일반의약품·소비자헬스
pfizer,화이자,Pfizer,제약
opel,오펠,Opel,완성차
cadbury,캐드버리,Cadbury,과자·제과
longines,론진,Longines,하이엔드시계
twitch,트위치,Twitch,콘텐츠스트리밍
milwaukee-tool,밀워키,Milwaukee Tool,공구
burger-king,버거킹,Burger King,패스트푸드
triumph,트라이엄프,Triumph Motorcycles,이륜차
booking-holdings,부킹홀딩스,Booking Holdings,여행플랫폼
kodansha,고단샤,Kodansha,출판
stone-island,스톤아일랜드,Stone Island,디자이너·스트리트
omega,오메가,Omega,하이엔드시계
hermes,에르메스,Hermès,럭셔리하우스
ikea,이케아,IKEA,가구·인테리어
van-cleef-arpels,반클리프 아펠,Van Cleef & Arpels,주얼리
ichiran,이치란,Ichiran,레스토랑체인
yuhan,유한양행,Yuhan,제약
kt,KT,KT,통신사
the-economist,이코노미스트,The Economist,방송·신문
air-premia,에어프레미아,Air Premia,항공사
tvn,tvN,tvN,방송·신문
hyundai-card,현대카드,Hyundai Card,카드·결제
android,안드로이드,Android,검색·포털
sanrio,산리오,Sanrio,완구·캐릭터
kb-kookmin-card,KB국민카드,KB Kookmin Card,카드·결제
byc,BYC,BYC,언더웨어·라운지
colgate-palmolive,콜게이트팜올리브,Colgate-Palmolive,생활위생
moderna,모더나,Moderna,바이오
instagram,인스타그램,Instagram,SNS·메신저
blue-bottle,블루보틀,Blue Bottle Coffee,카페체인
axa,악사,AXA,보험
anthropic,앤트로픽,Anthropic,AI
tous-les-jours,뚜레쥬르,Tous les Jours,베이커리·디저트
mitsubishi-pencil,미쓰비시연필,Mitsubishi Pencil,문구·필기구
churchs,처치스,Church's,신발
hancom,한글과컴퓨터,Hancom,소프트웨어·클라우드
samsung-securities,삼성증권,Samsung Securities,증권·투자
salomon,살로몬,Salomon,아웃도어
maison-kitsune,메종 키츠네,Maison Kitsuné,디자이너·스트리트
compose-coffee,컴포즈커피,Compose Coffee,카페체인
macbook,맥북,MacBook,PC·주변기기
bmw-group,BMW그룹,BMW Group,완성차
ping,핑,PING,골프
mars,마스,"Mars, Incorporated",과자·제과
hennessy,헤네시,Hennessy,주류
penguin-random-house,펭귄 랜덤하우스,Penguin Random House,출판
toyoko-inn,토요코인,Toyoko Inn,호텔·리조트
fossil,파슬,Fossil,대중시계
thom-browne,톰 브라운,Thom Browne,디자이너·스트리트
naver,네이버,NAVER,검색·포털
uniqlo,유니클로,Uniqlo,SPA·캐주얼
sega,세가,SEGA,게임사
chamisul,참이슬,Chamisul,주류
chivas-regal,시바스리갈,Chivas Regal,주류
klm,KLM,KLM Royal Dutch Airlines,항공사
hello-kitty,헬로키티,Hello Kitty,완구·캐릭터
lotte-department-store,롯데백화점,Lotte Department Store,백화점
breitling,브라이틀링,Breitling,하이엔드시계
acer,에이서,Acer,PC·주변기기
zenith,제니스,Zenith,하이엔드시계
round-lab,라운드랩,Round Lab,스킨케어
biore,비오레,Bioré,스킨케어
our-legacy,아워레가시,Our Legacy,디자이너·스트리트
jeonggwanjang,정관장,Cheong Kwan Jang,건강식품
chobani,초바니,Chobani,유제품
panerai,파네라이,Panerai,하이엔드시계
google-pixel,구글 픽셀,Google Pixel,스마트폰·가전
raemian,래미안,Raemian,건설
mercedes-benz-group,메르세데스-벤츠 그룹,Mercedes-Benz Group,완성차
coffee-bean,커피빈,The Coffee Bean & Tea Leaf,카페체인
nio,니오,NIO,전기차
netmarble,넷마블,Netmarble,게임사
astrazeneca,아스트라제네카,AstraZeneca,제약
comme-des-garcons,꼼데가르송,Comme des Garçons,디자이너·스트리트
chungjungone,청정원,Chungjungone,조미료·소스
polestar,폴스타,Polestar,전기차
prugio,푸르지오,Prugio,건설
disney-plus,디즈니플러스,Disney+,콘텐츠스트리밍
alfa-romeo,알파로메오,Alfa Romeo,완성차
29cm,29CM,29CM,명품·패션플랫폼
airpods,에어팟,AirPods,음향·카메라
mixxo,미쏘,MIXXO,SPA·캐주얼
spam,스팸,Spam,라면·가공식품
cadillac,캐딜락,Cadillac,완성차
auralee,오라리,Auralee,디자이너·스트리트
raffles,래플스,Raffles Hotels & Resorts,호텔·리조트
gu,지유,GU,SPA·캐주얼
weverse,위버스,Weverse,SNS·메신저
grab,그랩,Grab,모빌리티서비스
korean-air,대한항공,Korean Air,항공사
maison-margiela,메종 마르지엘라,Maison Margiela,디자이너·스트리트
max-mara,막스마라,Max Mara,컨템포러리
legoland,레고랜드,Legoland,크루즈·테마파크
papa-johns,파파존스,Papa John's,배달·프랜차이즈
malbon-golf,말본골프,Malbon Golf,골프
deutsche-telekom,도이치텔레콤,Deutsche Telekom,통신사
